,MIS-Luby,MIS-SW08,MIS-GP22,MIS-GP22-0.1,MIS-GP22-0.5,MIS-Lam
100,13.38,9.76,15.42,17.14,15.46,18.32
200,14.4,11.8,17.76,17.42,17.38,18.96
300,14.8,12.68,18.26,19.54,18.9,21.58
400,18.02,13.42,18.1,20.96,20.04,21.26
500,18.44,13.6,20.3,22.78,20.26,21.76
600,18.82,14.94,19.86,22.92,22.82,23.1
700,20.32,15.02,20.6,23.44,23.42,23.02
800,18.56,15.18,22.92,25.1,24.42,23.08
900,19.54,15.46,23.06,22.74,23.52,24.42
1000,21.5,15.72,24.18,24.36,25.18,24.88
1100,21.44,15.36,23.66,25.16,25.5,24.98
1200,22.71,15.32,24.28,26.38,25.14,25.62
1300,22.28,15.6,24.38,27.42,24.12,25.88
1400,23.8,15.2,24.54,27.75,25.06,26.22
1500,25.12,15.56,26.0,27.74,25.94,25.98
1600,24.72,15.7,25.3,29.18,27.47,26.38
1700,24.73,15.84,25.02,29.81,27.65,26.28
1800,24.58,16.3,24.94,29.44,27.76,26.42
1900,23.54,15.56,25.1,28.34,27.38,27.22
2000,22.85,16.08,25.74,29.26,28.08,27.92
